´Ü¾î,Á¡¼ö
´õ¿öÁö´Ù,0
´øÁö´Ù,0
´ú´Ù,0
´ú··´ë´Ù,0
´ú··ÀÌ´Ù,0
´úÄÀ´ë´Ù,0
´úÄÈ´ë´Ù,0
´úÄÈÀÌ´Ù,0
´ýº¡°Å¸®´Ù,0
´ýº¡´ë´Ù,0
´ýºñ´Ù,0
µ¡ºÙÀÌ´Ù,0
µ¢½Ç´ë´Ù,0
µ¤´Ù,0
µ¤ÀÌ´Ù,0
µ¥·Á°¡´Ù,0
µ¥·Á¿À´Ù,0
µ¥¸®,0
µ¥¸®´Ù,0
µ¥¿ì´Ù,0
µµ´ÚÀÌ´Ù,0
µµµå¶óÁö´Ù,1
µµ·Á³»´Ù,0
µµ¸£´Ù,0
µµ¸Á°¡´Ù,-1
µµ¸ÁÄ¡´Ù,-1
µµ¿ÍÁÖ´Ù,1
µ¸´Ù,0
µ¸º¸´Ù,1
µ¸º¸ÀÌ´Ù,1
µ¸¾Æ³ª´Ù,1
µ¹±â,0
µ¹´Ù,0
µ¹´Ù¸®,0
µ¹¶ó¸Å´Ù,0
µ¹¶óº¸´Ù,0
µ¹¶ó¼­´Ù,0
µ¹·ÁÁÖ´Ù,0
µ¹¸®´Ù,0
µ¹º¸´Ù,0
µ¹¾Æ°¡´Ù,0
µ¹¾Æ´Ù´Ï´Ù,0
µ¹¾Æº¸´Ù,0
µ¹¾Æ¼­´Ù,0
µ¹¾Æ¿À´Ù,0
µ¹ÀÌ,0
µ¹ÀÌÅ°´Ù,0
µ¹Áø,0
µ½´Ù,0
µÅ´Ù,0
µÅÁö,0
µÇ°Ô,0
µÇ´Ù,0
µÇµ¹¸®´Ù,0
µÇµ¹¾Æ°¡´Ù,0
µÇµ¹¾Æº¸´Ù,0
µÇµ¹¾Æ¿À´Ù,0
µÇ»ì¸®´Ù,0
µÇ»õ±â´Ù,0
µÇ¾Ã´Ù,0
µÇ¾î´Ù,0
µÇÃ£´Ù,0
µÈ°Å,0
µÎ±â,0
µÎ´Ù,0
µÎµå¸®´Ù,0
µÎ¸£´Ù,0
µÎ¸®¹ø°Å¸®´Ù,0
µÎ½Ã,0
µÑ·¯³õ´Ù,0
µÑ·¯´ë´Ù,0
µÑ·¯¸·´Ù,0
µÑ·¯¸Å´Ù,0
µÑ·¯º¸´Ù,0
µÑ·¯ºÙ´Ù,0
µÑ·¯¼­´Ù,0
µÑ·¯½º´Ù,0
µÑ·¯½Î´Ù,0
µÑ·¯½ÎÀÌ´Ù,0
µÑ·¯½×´Ù,0
µÑ·¯¾É´Ù,0
µÕ±Û¸®´Ù,0
µÕ½Ç´ë´Ù,0
µÕÄ¡´Ù,0
µØÁö´Ù,0
µÚµ¤È÷´Ù,0
µÚµû¸£´Ù,0
µÚÁö´Ù,0
µÚÁý¾îÁö´Ù,0
µÚÃ´°Å¸®´Ù,0
µÚÆ²´Ù,-1
µÚÆ²¸®´Ù,-1
µÞ¸ñÀâ´Ù,-2
µå³ªµé´Ù,0
µå³¯¸®´Ù,0
µå³ô¾ÆÁö´Ù,0
µå³ôÀÌ´Ù,0
µå´Ï,0
µå·¯³ª´Ù,0
µå·¯³»´Ù,0
µå·¯´¯´Ù,0
µå¸®´Ù,0
µå¸®¿ì´Ù,0
µå¸®¿öÁö´Ù,0
µå¸±,0
µå¸²,0
µå¸³,0
µå¼¼Áö´Ù,-1
µæ½Ç´ë´Ù,0
µçÁö,0
µè±â,0
µè´Ù,0
µèº¸´Ù,0
µé°Í,0
µé°í³ª´Ù,0
µé°íÆÄ´Ù,0
µé²ú´Ù,0
µé´Ù,0
µé·¯ºÙ´Ù,0
µé·¹´Ù,0
µé·Á¿À´Ù,0
µé·ÁÁÖ´Ù,0
µé¸£´Ù,0
µé¸®´Ù,0
µé¸ÔÀÌ´Ù,0
µéºÙ´Ù,0
µé½â´ë´Ù,1
µé½âÀÌ´Ù,1
µé¾î°¡´Ù,0
µé¾î¸Â´Ù,0
µé¾î¼­´Ù,0
µé¾î¿À´Ù,0
µé¾îÁÖ´Ù,0
µé¿©³õ´Ù,0
µé¿©´Ùº¸´Ù,0
µéÀÌ±Á´Ù,0
µéÀÌ´Ù,0
µéÀÌ¸¶½Ã´Ù,0
µéÀÌ¹Ð´Ù,0
µéÀÌÄÑ´Ù,0
µéÀÌÅ°´Ù,0
µéÃ´ÀÌ´Ù,0
µéÃß´Ù,0
µéÃß¾î³»´Ù,0
µéÅ°´Ù,0
µðµð,0
µðµð´Ù,0
µð¹Ð´Ù,0
µðÁö´Ù,0
µó´Ù,0
µû³»´Ù,0
µû´Ù,0
µûµ¹¸®´Ù,-1
µû¶ó°¡´Ù,0
µû¶ó´Ù´Ï´Ù,0
µû¶ó¼­,0
µû¶ó¿À´Ù,0
µû¶óÀâ´Ù,0
µû·Î¼­´Ù,0
µû¸£´Ù,0
µû¸§,0
µû¸®,0
µû¸Ô´Ù,0
µû¿À´Ù,0
µûÁö´Ù,0
µþ¸®´Ù,0
µþ¾Æ,0
¶§¸®´Ù,-2
¶§¿ì´Ù,0
¶¯±â´Ù,-1
¶¯Àâ´Ù,1
‹š¸®´Ù,-2
¶°°¡´Ù,0
¶°³ª°¡´Ù,0
¶°³ª´Ù,0
¶°³ª¿À´Ù,0
¶°³»´Ù,0
¶°³»·Á°¡´Ù,0
¶°´Ù´Ï´Ù,0
¶°µ¹´Ù,-1
¶°µ¹¾Æ´Ù´Ï´Ù,-1
¶°µé´Ù,-1
¶°µë°Å¸®´Ù,-1
¶°¹Ð´Ù,-1
¶°¹Þ´Ù,1
¶°¹ÞÄ¡´Ù,1
¶°¹ú¸®´Ù,-1
¶°¹úÀÌ´Ù,-1
¶°º¸´Ù,-1
¶°¿À¸£´Ù,1
¶°¿Ã¸®´Ù,0
¶°Áö´Ù,0
¶²´Ù,-1
¶³±¸´Ù,0
¶³´Ù,0
¶³¸®´Ù,0
¶³¾î¶ß¸®´Ù,0
¶³¾îÁö´Ù,0
¶³Ä¡´Ù,0
¶¼´Ù,0
¶¼¹Ð´Ù,0
¶¼¾²´Ù,-1
¶¼ÀÌ´Ù,0
¶Ñµé±â´Ù,-1
¶Õ´Ù,0
¶Õ¸®´Ù,0
¶Õ¾îÁö´Ù,0
¶Ù³î´Ù,0
¶Ù´Ù,
¶Ù¾î°¡´Ù,0
¶Ù¾î³ª°¡´Ù,0
¶Ù¾î³ª¿À´Ù,0
¶Ù¾î³»¸®´Ù,0
¶Ù¾î³Ñ´Ù,0
¶Ù¾î³î´Ù,0
¶Ù¾î´Ù´Ï´Ù,0
¶Ù¾îµé´Ù,0
¶Ù¾î¿À´Ù,0
¶Ù¾î¿À¸£´Ù,0
¶ß´Ù,0
¶ßÀÌ´Ù,0
¶â±â´Ù,0
¶â´Ù,0
¶ä¶ß´Ù,0
¶ç´Ù,0
¶ç¿ì´Ù,0
¶ìÀÌ´Ù,0
¸®µëÅ¸´Ù,0
¸¶´Â,0
¸¶½Ã±â,0
¸¶½Ã´Ù,0
¸¶½É,0
¸¶½Ë´Ù,0
¸¶À½¸Ô´Ù,0
¸¶À½Àâ´Ù,0
¸¶ÁÖ,0
¸¶ÁÖÄ¡´Ù,0
¸¶Áö¾Ê´Ù,0
¸¶Ä¡,
¸¶Ä¡´Ù,0
¸¶Ä§,0
¸·³»,0
¸·´Ù,0
¸·È÷´Ù,0
¸¸³ª´Ù,0
¸¸³­,0
¸¸³¯,0
¸¸³²,0
¸¸µé´Ù,0
¸¸µé¾îÁö´Ù,0
¸¸ÀÎ,0
¸¸Áö´Ù,0
¸¸ÁöÀÛ´ë´Ù,0
¸¸Ä¡,0
¸¸ÇÏ,0
¸¹¾ÆÁö´Ù,0
¸»°³Áö´Ù,0
¸»°í´Â,0
¸»°íµµ,0
¸»´Ù,0
¸»·¯,0
¸»¸®,0
¸»¸®´Ù,0
¸»¸²,0
¸»¾¸µå¸®´Ù,0
¸»¾Æ¸Ô´Ù,0
¸Àº¸´Ù,0
¸Á°¡Áö´Ù,0
¸Á¼³ÀÌ´Ù,-1
¸ÁÄ¡,0
¸ÁÄ¡´Ù,-2
¸Â´Ù,-2
¸Â´ê´Ù,0
¸Â´ë´Ù,0
¸Â¸Ô´Ù,0
¸ÂºÎµú´Ù,-1
¸ÂºÎµúÄ¡´Ù,-1
¸ÂºÙ´Ù,-2
¸Â¼­´Ù,-1
¸ÂÀÌ,0
¸ÂÃß´Ù,0
¸ÂÃã,0
¸Ã±â´Ù,0
¸Ã´Ù,0
¸Å²ô·¯Áö´Ù,0
¸Å²ø°Å¸®´Ù,0
¸Å´Ù,0
¸Å´Þ´Ù,0
¸Å´Þ¸®´Ù,0
¸Åµµ,0
¸Å¸¸Áö´Ù,0
¸Å¼ö,
¸Å½Ç,0
¸Å¿ì,0
¸ÅÄ¡´Ù,-1
¸Éµ·´Ù,0
¸Éµ¹´Ù,0
¸Î´Ù,0
¸Ó°Å´Ù,0
¸Ó°Ï´Ù,0
¸Ó±¸´Ù,0
¸Ó¹«¸£´Ù,0
¸Ó¹°´Ù,0
¸Ó¹µ°Å¸®´Ù,0
¸Ô°í´Ù,0
¸Ô°í»ì´Ù,0
¸Ô±â,0
¸Ô´Ù,0
¸Ôµí,0
¸Ô¾îÁÖ´Ù,1
¸Ô¿©ÁÖ´Ù,1
¸ÔÀ½,0
¸ÔÀÌ,0
¸ÔÀÌ´Ù,-1
¸ÔÈ÷´Ù,-1
¸Ö¾îÁö´Ù,0
¸ØÃß´Ù,0
¸ØÄ©´ë´Ù,0
¸Ü´Ù,0
¸Þ±â,0
¸Þ´Ù,0
¸Þ¿ì´Ù,0
¸ÞÀÌ,0
¸ÞÀÎ,0
¸ð¸£´Ù,0
¸ð¸§,0
¸ð½Ã,0
¸ð½Ã´Ù,0
¸ð¿©µé´Ù,0
¸ðÀ¸´Ù,0
¸ðÀÌ,0
¸ðÀÌ´Ù,0
¸ðÀÓ,0
¸ðÀÚ¶ó´Ù,0
¸ô´Ù,0
¸ô¶û´ë´Ù,0
¸ô·Áµé´Ù,0
¸ô·Á¿À´Ù,0
¸ô¸®,0
¸ô¸®´Ù,0
¸ô¾ÆÄ¡´Ù,0
¸ôÀÌ,0
¸øÀÚ´Ù,0
¹«³ÊÁö´Ù,-1
¹«½Ã,0
¹«Ä¡´Ù,0
¹¬°í,0
¹¬´Ù,0
¹¬À½,0
¹­´Ù,0
¹­ÀÌ´Ù,0
¹­ÀÎ,0
¹®°í,0
¹®°ú,0
¹®±¸,0
¹®´ë,0
¹®¼­,0
¹®¾î,0
¹®ÀÎ,0
¹®ÀÚ,0
¹®Áö¸£´Ù,0
¹®ÇÏ,0
¹¯´Ù,0
¹¯È÷´Ù,0
¹°´Ù,0
¹°µé´Ù,0
¹°·¯³ª´Ù,0
¹°·¯¼­´Ù,0
¹°·¯¾É´Ù,0
¹°··´ë´Ù,0
¹°¸£´Ù,0
¹°¸®,0
¹°¸®´Ù,0
¹°¸»,0
¹°¾î,0
¹°¾îº¸´Ù,0
¹°ÀÌ,0
¹°ÁÙ±â,0
¹¶±×·¯Áö´Ù,0
¹¶±×Àû°Å¸®´Ù,0
¹¶Ä¡´Ù,0
¹¹¶ó´Ù,0
¹Ì²ô·¯Áö´Ù,0
¹Ì²ø°Å¸®´Ù,0
¹Ì²ø´ë´Ù,0
¹Ì·ç´Ù,0
¹Ì¿ì´Ù,0
¹Ï´Ù,0
¹Ï¾îÁö´Ù,0
¹Ð°í,0
¹Ð´Ù,0
¹Ð·Á¿À´Ù,0
¹Ð¸®,0
¹Ð¸®´Ù,0
¹Ð¸²,0
¹Ð¸é,0
¹ÐÄ¡´Ù,0
¹Ù±Û´ë´Ù,0
¹Ù²Ù´Ù,0
¹Ù²Þ,0
¹Ù²ãÄ¡´Ù,0
¹Ù²î´Ù,0
¹Ù´Ú³ª´Ù,0
¹Ù¶ó´Ù,0
¹Ù¶ó´Ùº¸´Ù,0
¹Ù¶ó´Ùº¸ÀÌ´Ù,0
¹Ù¶óº¸´Ù,0
¹Ù¶óº¸ÀÌ´Ù,0
¹Ù¶óºÆ´Ù,0
¹Ù¶óÁö´Ù,0
¹Ù¶õ,0
¹Ù¶÷,0
¹Ù¶÷³ª´Ù,-1
¹Ù¶÷¸Â´Ù,-1
¹Ù·¡´ÙÁÖ´Ù,0
¹Ù·ÎÀâ´Ù,1
¹Ù·ÎÀâÈ÷´Ù,1
¹Ù¸£³ª,0
¹Ù¸£´Ù,0
¹Ù¸§,0
¹Ù»è´ë´Ù,0
¹Ù¼ö´Ù,0
¹Ù½º¶óÁö´Ù,0
¹Ù½º¶ô´ë´Ù,0
¹Ù½º·¯Áö´Ù,0
¹ÙÄ¡´Ù,0
¹Ú´Ù,0
¹Ú¼ö,1
¹Ú¾Æ,0
¹ÚÀÚ,0
¹ÚÁö¸£´Ù,0
¹ÚÂ÷´Ù,0
¹ÚÈ÷´Ù,0
¹Ý±â´Ù,0
¹ÝÀÛÀÌ´Ù,0
¹ÝÂ¦°Å¸®´Ù,2
¹ÝÂ¦´ë´Ù,2
¹ÝÂ¦ÀÌ´Ù,2
¹ÝÈ¯¹Þ´Ù,0
¹Þ´Ù,0
¹Þ¾ÆµéÀÌ´Ù,0
¹ÞÄ¡´Ù,
¹ß°¡¹þ±â´Ù,-1
¹ß°¡¹þ´Ù,0
¹ß±â´Ù,0
¹ß¶ó,0
¹ß¸®,0
¹ß¸®´Ù,0
¹ß¹ß´ë´Ù,0
¹ß¹öµÕÄ¡´Ù,-2
¹à´Ù,2
¹à¾ÆÁö´Ù,2
¹àÇô³»´Ù,0
¹àÇôÁö´Ù,0
¹àÈ÷´Ù,
¹â´Ù,0
¹ã»õ,0
¹ã»õ´Ù,0
¹ã»õ¿ì´Ù,0
¹å´Ù,0
¹åÁÙ,0
¹è°ô´Ù,0
¹è±â,0
¹è´Ù,0
¹è·Á,2
¹è¼ö,0
¹è¿ì´Ù,0
¹è¿öÁÖ´Ù,0
¹èÀç,0
¹èÄ¡,
¹ë¸®,0
¹ñ´Ù,-1
¹öµÕ´ë´Ù,-1
¹ö·°°Å¸®´Ù,-2
¹ö·ÁÁö´Ù,-2
¹ö¸®´Ù,0
¹ö¹÷´ë´Ù,-1
¹öÁ¤ÀÌ´Ù,0
¹öÆ¼°í,0
¹öÆ¼´Ù,0
¹÷Àû´ë´Ù,0
¹÷ÀûÀÌ´Ù,0
¹øµæÀÌ´Ù,0
¹ø¶àÀÌ´Ù,0
¹øÂ½ÀÌ´Ù,1
¹ù´Ù,0
¹ùÄ¡´Ù,0
¹ú°Å¹þ±â´Ù,-1
¹ú´Ù,0
¹ú¶±ÀÌ´Ù,0
¹ú··´ë´Ù,0
¹ú·î´ë´Ù,0
¹ú¸§´ë´Ù,0
¹ú¸®´Ù,0
¹ú¸°,0
¹ú¾îÁö´Ù,0
¹úÀÌ,0
¹úÀÌ´Ù,0
¹úÁÖ´Ù,0
¹úÄÀ°Å¸®´Ù,0
¹úÄÀ´ë´Ù,0
¹ý¼®ÀÌ´Ù,-1
¹þ°ÜÁö´Ù,-1
¹þ±â´Ù,0
¹þ´Ù,0
¹þ¾î³ª´Ù,0
¹þ¾îÁö´Ù,0
º£´Ù,-1
º£»ç,0
º£ÀÌ,0
º£ÀÎ,0
º£Ç®´Ù,0
º¥Ä¡,0
º¯Ä¡¾Ê´Ù,0
º´µé´Ù,-2
º¸°í,0
º¸°í¿À´Ù,0
º¸±¸,0
º¸±â,0
º¸³ª,0
º¸³»´Ù,0
º¸³»¿À´Ù,0
º¸´Ù,0
º¸´Ù´Â,0
º¸´Ùµµ,0
º¸´Ù¸¸,0
º¸´Ù¾ß,0
º¸´Ü,0
º¸´ä,0
º¸´ë³¢´Ù,0
º¸´õ,0
º¸µµ,0
º¸µë´Ù,2
º¸¶ó,0
º¸·Î,0
º¸»ìÇÇ´Ù,2
º¸¼ö,0
º¸½Ã,0
º¸½Å,0
º¸¾Æ,0
º¸¿©ÁÖ´Ù,0
º¸ÀÌ,0
º¸ÀÌ´Ù,0
º¸ÀÌ½Ã,0
º¸ÀÌÁö,0
º¸ÀÏ·¯,0
º¸ÀÓ,0
º¸Àü,0
º¸Áö,0
º¸Ã¤´Ù,0
º¹¹ÞÄ¡´Ù,0
º¹ÀÛ´ë´Ù,0
º¹ÀÛÀÌ´Ù,0
º¹Å¸´Ù,0
ºº´Ù,0
ººÀÌ´Ù,0
º»¶ß´Ù,0
º»¹Þ´Ù,0
º»º¸´Ù,0
º¼·ÏÀÌ´Ù,0
º½Å¸´Ù,0
ºÆ´Ù,0
ºË´Ù,0
ºÎ°¢½ÃÅ°´Ù,0
ºÎ±Û´ë´Ù,-2
ºÎ´ÚÄ¡´Ù,-1
ºÎ´ë³¢´Ù,-1
ºÎµÕÄÑ¾È´Ù,0
ºÎµÕÅ°´Ù,0
ºÎµé´ë´Ù,0
ºÎµóÈ÷´Ù,-1
ºÎµúÄ¡´Ù,-1
ºÎµúÈ÷´Ù,-1
ºÎ¶ó¸®´Ù,-2
ºÎ·¯,0
ºÎ·¯Áö´Ù,0
ºÎ¸£´Ù,0
ºÎ¸£Â¢´Ù,-1
ºÎ¸£Æ®´Ù,-1
ºÎ¸¨¶ß´Ù,-2
ºÎ¸®,0
ºÎ¸®°í,-1
ºÎ¸®´Ù,-1
ºÎ¸²,-1
ºÎºñÀû°Å¸®´Ù,0
ºÎºñÀû´ë´Ù,0
ºÎ¼­¶ß¸®´Ù,-1
ºÎ¼­Áö´Ù,-1
ºÎ½º´ë´Ù,-1
ºÎ½º·¯Áö´Ù,-1
ºÎ½º·¯Æ®¸®´Ù,-1
ºÎ½º·°´ë´Ù,-1
ºÎ½Ã,0
ºÎ½Ã´Ù,0
ºÎ½Ã·°°Å¸®´Ù,-1
ºÎ½Ã·°´ë´Ù,-1
ºÎ½Å,0
ºÎ½É,0
ºÎ¿©Àâ´Ù,0
ºÎÃß±â´Ù,0
ºÎÃßÅ°´Ù,0
ºÎÄ¡´Ù,0
ºÎÄ£,0
ºÎÇ®´Ù,0
ºÎÇ®¸®´Ù,0
ºÏ¹ÞÄ¡´Ù,0
ºÐ°¡,0
ºÐ°Å,0
ºÐ´Ù,0
ºÐ¸íÇØÁö´Ù,0
ºÐ¼ö,0
ºÐÀÚ,0
ºÐÀü,0
ºÒ°¡,0
ºÒ°ÅÁö´Ù,0
ºÒ°í±â,0
ºÒ±¸,0
ºÒ±â,0
ºÒ´Ù,0
ºÒ·¯ÀÏÀ¸Å°´Ù,0
ºÒ¸®,0
ºÒ¸®´Ù,0
ºÒ¸é,0
ºÒ¼ö,0
ºÒ¾È,0
ºÒ¾î,0
ºÒ¾î¿À´Ù,0
ºÒÁö,0
ºÕºñ´Ù,0
º×´Ù,0
ºÙ´Ù,0
ºÙµé´Ù,0
ºÙ¹Ú´Ù,0
ºÙÀÌ,0
ºÙÀÌ´Ù,0
ºÙÀâ´Ù,0
ºÙÀâÈ÷´Ù,0
ºñ°í,0
ºñ±â´Ù,0
ºñ²¿´Ù,0
ºñ´Ù,0
ºñ¶Ô´Ù,0
ºñ¶Ô¾îÁö´Ù,0
ºñºñ°í,0
ºñºñ´Ù,0
ºñºö¸é,0
ºñ½Ç,0
ºñ¾Æ,0
ºñ¾ß,0
ºñ¿ì±â,0
ºñ¿ì´Ù,0
ºñ¿ô´Ù,
ºñÁö,0
ºñÃß´Ù,0
ºñÄ¡,0
ºñÄ¡´Ù,0
ºñÅ°,0
ºñÅ°´Ù,0
ºñÆ²´ë´Ù,0
ºñÆ²¸®´Ù,0
ºñÆ²¾îÁö´Ù,0
ºóÁ¤´ë´Ù,-2
ºô´Ù,0
ºô¶ó,0
ºô¸®´Ù,0
ºôºÙ´Ù,-1
ºô¾î,0
ºø³ª°¡´Ù,0
ºø´Ù,0
ºø´ë´Ù,0
ºø¾îÁÖ´Ù,0
ºøÁÙ±â,0
ºû³ª´Ù,0
ºü¶ß¸®´Ù,0
ºüÁ®³ª°¡´Ù,0
ºüÁ®³ª¿À´Ù,0
ºüÁ®µé´Ù,0
ºüÁö´Ù,0
ºý½Ã´Ù,0
»¡´Ù,0
»¡¾ÆµéÀÌ´Ù,0
»©³õ´Ù,0
»©´Ù,0
»©¸Ô´Ù,0
»©¾Ñ±â´Ù,-1
»©¾Ñ´Ù,-1
»¯´Ù,0
»µ±â´Ù,0
»¸´Ù,0
»¸Ä¡´Ù,0
»½¶Ô¸®´Ù,0
»Çµåµæ´ë´Ù,1
»Ç·Ï³ª´Ù,1
»Ç½Ã¶ô°Å¸®´Ù,1
»Ç½Ã¶ô´ë´Ù,1
»Ç¾êÁö´Ù,1
»Ë³»´Ù,1
»Ì´Ù,0
»ÌÈ÷´Ù,0
»Í³ª´Ù,0
»Ñ¸®,0
»Ñ¸®´Ù,0
»Ñ¸®Ä¡´Ù,0
»Õ¾î³»´Ù,0
»ß¶Ô¾îÁö´Ù,-1
»ç°¡,0
»ç°¡´Ù,0
»ç°¢´ë´Ù,0
»ç°¢ÀÌ´Ù,0
»ç°í,0
»ç°íÆÈ´Ù,0
»ç±¸,0
»ç±Í´Ù,1
»ç±×¶óµé´Ù,1
»ç±×¶óÁö´Ù,1
»ç±â,-1
»ç³ª¿öÁö´Ù,-1
»ç³»,0
»ç´Ù,0
»ç´Ù¸®,0
»çµµ,0
»çµéÀÌ´Ù,0
»ç¶ó,0
»ç¶óÁö´Ù,-1
»ç¶û,2
»ç¶û¹Þ´Ù,2
»ç·ÎÀÚ´Ù,0
»ç·ÎÀâÈ÷´Ù,-1
»ç¸£,0
»ç¸£´Ù,0
»ç¸®,0
»ç¸®´Ù,0
»ç¸®¹°´Ù,0
»ç¸¶,0
»ç¸Ô´Ù,0
»ç¹«Ä¡´Ù,0
»çº¸´Ù,0
»çºÎÀÛ´ë´Ù,0
»ç¼­,0
»ç¼ö,0
»ç½Ç,0
»ç¾È,0
»ç¾ß°¡,0
»ç¿À´Ù,0
»ç¿É´Ï´Ù,0
»ç¿ë,0
»çÀ§,0
»çÀ§´Ù,0
»çÀÌ,0
»çÀÚ,0
»çÁÖ´Ù,0
»çÁÖ¸é,0
»çÁö,0
»çÁø,0
»çÇÏ´Ù,0
»çÇØ,0
»èÀÌ´Ù,0
»èÈ÷´Ù,0
»ê´Ù,0
»ê¼Ò,0
»êÀÌ,0
»êÁÙ±â,0
»ì±æ,0
»ì´Ù,0
»ì¶ó,0
»ì¶û´ë´Ù,2
»ì¶ûÀÌ´Ù,1
»ì¸®´Ù,1
»ì¸²,0
»ì¼ö,0
»ì¾Æ°¡´Ù,1
»ì¾Æ³ª´Ù,1
»ì¾Æ¿À´Ù,0
»ìÀÌ,0
»ìÆìº¸´Ù,1
»ìÇÇ,0
»ìÇÇ´Ù,0
»î´Ù,0
»ï°¡´Ù,0
»ï°Å¸®,0
»ï´Ù,0
»ïÀç,0
»ïÅ°´Ù,0
»õ±Ù´ë´Ù,0
»õ±â´Ù,0
»õ±è,0
»õ´Ù,0
»õ¿ì,0
»õ¿ì´Ù,0
»ù³»´Ù,-2
»ù¼Ú´Ù,0
»ý°¢³ª´Ù,0
»ý°Ü³ª´Ù,0
»ý±â,0
»ý±â´Ù,0
¼­°Æ´ë´Ù,0
¼­°ÆÀÌ´Ù,0
¼­°í,0
¼­±¸,0
¼­±ÛÆÛÁö´Ù,-2
¼­±â,0
¼­´Ù,0
¼­µÎ¸£´Ù,-1
¼­µÑ´Ù,-1
¼­µç,0
¼­·´´Ù,-2
¼­¸®,0
¼­¸®´Ù,0
¼­¸é,0
¼­¼­,0
¼­¼º°Å¸®´Ù,-1
¼­¼º´ë´Ù,-1
¼­¼ºÀÌ´Ù,-1
¼­½¿´Ù,0
¼­¿ï,0
¼­Áö,0
¼¯´Ù,0
¼¯ÀÌ´Ù,0
¼±°Å,0
¼±º¸´Ù,0
¼±º¸ÀÌ´Ù,0
¼±¼ö,0
¼±½Ã,0
¼±¿ì,0
¼±ÀÎ,0
¼±Áö,0
¼³°è,0
¼³´Ù,0
¼³ÀÍ´Ù,0
¼¶°ÜÁö´Ù,1
¼¶±â´Ù,1
¼º³ª´Ù,0
¼º³²,-1
¼º³»´Ù,-1
¼¼°è,0
¼¼´Ù,0
¼¼µµ,0
¼¼¼ö,0
¼¼¿ì´Ù,0
¼¼¿öÁö´Ù,0
¼¼Áö,0
¼Ò¸§³¢Ä¡´Ù,-1
¼Ò¸®³»´Ù,0
¼Ò¸®Ä¡´Ù,-1
¼Ò¹®³ª´Ù,0
¼Ó´Ú°Å¸®´Ù,0
¼Ó´ÚÀÌ´Ù,0
¼Ó´Þ°Å¸®´Ù,0
¼Ó»èÀÌ´Ù,0
¼Ó»ì°Å¸®´Ù,0
¼ÓÀÌ´Ù,-2
¼Õ²Å´Ù,0
¼Õ´ë´Ù,0
¼ÕÀâ´Ù,1
¼Ú±¸Ä¡´Ù,0
¼Ú´Ù,0
¼Ú¾Æ¿À¸£´Ù,0
¼ö±º°Å¸®´Ù,-1
¼ö±º´ë´Ù,-1
¼ö·±°Å¸®´Ù,-1
¼ö¼±°Å¸®´Ù,-1
¼ö¼±´ë´Ù,-1
¼÷´ö°Å¸®´Ù,-1
¼÷ÀÌ´Ù,0
¼ú··°Å¸®´Ù,0
¼ú··´ë´Ù,0
¼ú··ÀÌ´Ù,0
¼û±â,0
¼û±â´Ù,0
¼û´Ù,0
¼û½¬´Ù,0
¼ûÁö´Ù,0
½¬´Ù,0
½º¸Ö°Å¸®´Ù,0
½º¸Ö´ë´Ù,0
½º¸çµé´Ù,0
½º¹Ì´Ù,0
½ºÃÄº¸´Ù,0
½ºÄ¡´Ù,0
½½··°Å¸®´Ù,0
½¿¹÷ÀÌ´Ù,0
½Ã²ø¹÷Àû°Å¸®´Ù,0
½Ã²ø¹÷Àû´ë´Ù,0
½Ã´Þ¸®´Ù,-1
½Ãµé°Å¸®´Ù,-1
½Ãµé´Ù,-1
½Ã»¹°ÔÁö´Ù,-1
½Ã»õ´Ù,0
½Ã»õ¿ì´Ù,0
½Ã»ù,-1
½Ã½Ã´ë´Ù,0
½Ã½Ã´ö°Å¸®´Ù,0
½ÃÁý°¡´Ù,0
½ÃÄ¿¸ÞÁö´Ù,0
½ÃÅ«°Å¸®´Ù,0
½ÃÅ«´ë´Ù,0
½ÃÅ°´Ù,0
½ÃÅ´,0
½ÃÆÛ·¹Áö´Ù,0
½Ä±¸,0
½Ä´Ù,0
½ÄÈ÷´Ù,0
½Å°è,0
½Å°í,-1
½Å±â,0
½Å±â´Ù,0
½Å´Ù,0
½Å½Ã,0
½Å¾î,0
½ÅÀ½,0
½ÅÀÚ,0
½ÅÁö,0
½ÅÇÏ,0
½Æ´Ù,0
½Ç·è°Å¸®´Ù,1
½Ç¸®,0
½Ç¸®´Ù,0
½É°¢ÇØÁö´Ù,0
½É´Ù,0
½É¸®,0
½ÉÁö¾î,0
½ÉÇØÁö´Ù,-1
½Ì±Û°Å¸®´Ù,1
½Í´Ù,0
½Î°íµ¹´Ù,0
½Î´Ù,1
½Î´Ù´Ï´Ù,0
½Î¸Å´Ù,0
½Î¿ì´Ù,-2
½Î¿ò,-2
½ÎÀÌ´Ù,0
½ÎÀÎ,0
½ÎÀâ´Ù,0
½ÎÁö¸£´Ù,0
½ÏÆ®´Ù,0
½×´Ù,0
½×ÀÌ´Ù,0
½Ù½Ù°Å¸®´Ù,-1
½ß±î´Ù,-2
½á´Ù,0
½á¸®´Ù,0
½áÁÖ´Ù,0
½â´Ù,0
½âÀÌ´Ù,0
½ä´Ù,0
½ä¸®´Ù,0
½î´Ù,0
½î¾Æº¸´Ù,0
½îÀÌ´Ù,0
½îÁö¸£´Ù,0
½ñ´Ù,0
½ñ¾Æ³»´Ù,0
½ñ¾ÆÁö´Ù,0
½ò´Ù,0
